STATE,FIRE_SIZE
AK,30662696.140004165
AL,527371.5649999612
AR,209568.46000000127
AZ,5285330.6139982585
CA,10839726.229988392
CO,1606377.1000002848
CT,2584.7099999999527
DC,32.400000000000034
DE,3900.7499999999995
FL,2008166.7800002755
GA,1283529.2200002542
HI,40209.199999999975
IA,57646.36859999996
ID,13230232.45999918
IL,17366.795000000082
IN,16129.690000000111
KS,525820.7010000182
KY,422384.43999599863
LA,292689.5237000005
MA,4639.020000000032
MD,50219.12999999969
ME,21713.439999998707
MI,121861.09300000394
MN,594070.8599999585
MO,248125.68100000086
MS,655755.8999999975
MT,5543740.059999548
NC,365883.3999999398
ND,356756.7199999916
NE,752154.8621999864
NH,1088.4599999999982
NJ,36272.79999999998
NM,4288993.810000023
NV,8941695.029998474
NY,57943.15281595553
OH,13648.490000000036
OK,2714737.450000119
OR,8207954.059994757
PA,21992.07933899999
PR,11784.250000000007
RI,319.0799999999995
SC,246988.91000001656
SD,804576.2799998433
TN,234609.13000000862
TX,5375840.229999965
UT,3929677.7480007014
VA,177543.6700000033
VT,995.6460000000001
WA,4330966.559999979
WI,35762.457446996304
WV,499900.3999999718
WY,2268304.1650002217
